N,p_gen,p_swap,delta_pct,region
10,0.1,0.2,0.0,coarse
10,0.1,0.3,0.33940625862631946,coarse
10,0.1,0.4,2.100058282727631,coarse
10,0.1,0.5,19.49138121198752,coarse
10,0.1,0.6,47.177464126395265,coarse
10,0.1,0.7,70.0831934340608,coarse
10,0.1,0.8,75.68696393372754,coarse
10,0.1,0.9,70.57884877778035,coarse
10,0.1,1.0,66.85923278334234,coarse
10,0.2,0.1,0.0,coarse
10,0.2,0.2,0.0,coarse
10,0.2,0.3,3.1587499999999977,coarse
10,0.2,0.4,16.01447181638883,coarse
10,0.2,0.5,43.2381280110117,coarse
10,0.2,0.6,79.70304045349137,coarse
10,0.2,0.7,87.25840815705371,coarse
10,0.2,0.8,90.21253907352619,coarse
10,0.2,0.9,81.84882210441316,coarse
10,0.2,1.0,71.59964006368104,coarse
10,0.3,0.1,0.0,coarse
10,0.3,0.2,0.7987499999999983,coarse
10,0.3,0.3,3.268749999999997,coarse
10,0.3,0.4,26.004374999999996,coarse
10,0.3,0.5,64.83707667571097,coarse
10,0.3,0.6,85.4204819526893,coarse
10,0.3,0.7,93.22920219175592,coarse
10,0.3,0.8,93.62049596405092,coarse
10,0.3,0.9,79.89957472972281,coarse
10,0.3,1.0,68.37018109098989,coarse
10,0.4,0.1,0.0,coarse
10,0.4,0.2,0.3474999999999966,coarse
10,0.4,0.3,6.306875000000005,coarse
10,0.4,0.4,37.815,coarse
10,0.4,0.5,77.54112789448479,coarse
10,0.4,0.6,89.2470010117069,coarse
10,0.4,0.7,93.81317704389055,coarse
10,0.4,0.8,94.01293108736459,coarse
10,0.4,0.9,80.4494804056592,coarse
10,0.4,1.0,34.60522453771646,coarse
10,0.5,0.1,0.0,coarse
10,0.5,0.2,0.6400000000000006,coarse
10,0.5,0.3,13.958749999999995,coarse
10,0.5,0.4,49.029107934077246,coarse
10,0.5,0.5,82.57518772186812,coarse
10,0.5,0.6,92.31830726770929,coarse
10,0.5,0.7,94.1061784897025,coarse
10,0.5,0.8,94.98113157929339,coarse
10,0.5,0.9,63.30314180583074,coarse
10,0.5,1.0,38.12539582013933,coarse
10,0.6,0.1,0.0,coarse
10,0.6,0.2,1.0256250000000051,coarse
10,0.6,0.3,17.813125,coarse
10,0.6,0.4,58.651770498011736,coarse
10,0.6,0.5,85.95728402932738,coarse
10,0.6,0.6,93.20395999885385,coarse
10,0.6,0.7,95.21599969697544,coarse
10,0.6,0.8,95.63371581036499,coarse
10,0.6,0.9,8.614668218859133,coarse
10,0.6,1.0,47.49403341288782,coarse
10,0.7,0.1,0.15125000000000455,coarse
10,0.7,0.2,0.8974999999999937,coarse
10,0.7,0.3,22.684375000000003,coarse
10,0.7,0.4,68.92277874120167,coarse
10,0.7,0.5,88.66345647526059,coarse
10,0.7,0.6,93.43879629491964,coarse
